source_id,target_id,type,category
11,0,SPOUSE_OF,family
12,0,SPOUSE_OF,family
0,13,PARENT_OF,family
0,20,PARENT_OF,family
0,21,PARENT_OF,family
0,22,PARENT_OF,family
1,0,COMPANION_OF,others
2,0,COMPANION_OF,others
3,0,COMPANION_OF,others
4,0,COUSIN_OF,family
16,0,UNCLE_OF,family
17,0,UNCLE_OF,family
4,14,PARENT_OF,family
4,15,PARENT_OF,family
13,14,PARENT_OF,family
13,15,PARENT_OF,family
1,12,PARENT_OF,family
21,3,SPOUSE_OF,family
22,3,SPOUSE_OF,family
14,15,SIBLING_OF,family
0,27,TEACHER_OF,mentorship
0,1000,PARTICIPATED_IN,battles
1,1000,PARTICIPATED_IN,battles
2,1000,PARTICIPATED_IN,battles
4,1000,PARTICIPATED_IN,battles
16,1000,PARTICIPATED_IN,battles
18,1000,PARTICIPATED_IN,battles
0,1001,PARTICIPATED_IN,battles
1,1001,PARTICIPATED_IN,battles
2,1001,PARTICIPATED_IN,battles
4,1001,PARTICIPATED_IN,battles
16,1001,PARTICIPATED_IN,battles
0,1003,PARTICIPATED_IN,battles
1,1003,PARTICIPATED_IN,battles
2,1003,PARTICIPATED_IN,battles
4,1003,PARTICIPATED_IN,battles
19,1006,PARTICIPATED_IN,battles
10,1006,PARTICIPATED_IN,battles
8,1007,PARTICIPATED_IN,battles
