child_id,child_name_en,child_name_ar,parents,wives_or_husbands
0,Muhammad (PBUH),محمد,,
1,Abu Bakr as-Siddiq,أبو بكر الصديق,Uthman Abu Quhafa | Salma (Umm al-Khair),
2,Umar ibn al-Khattab,عمر بن الخطاب,Al-Khattab ibn Nufayl | Hantamah bint Hisham,
3,Uthman ibn Affan,عثمان بن عفان,Affan ibn Abi al-As | Arwa bint Kurayz,
4,Ali ibn Abi Talib,علي بن أبي طالب,Abu Talib ibn Abd al-Muttalib,
5,Talha ibn Ubaydullah,طلحة بن عبيد الله,Ubaydullah ibn Uthman | Salma bint Wuhayb,
6,Zubayr ibn al-Awwam,الزبير بن العوام,Al-Awwam ibn Khuwaylid | Safiyyah bint Abd al-Muttalib,
7,Abdur Rahman ibn Awf,عبد الرحمن بن عوف,Awf ibn Abd Harith | Umm Kulthum al-Ansariyya,
8,Sa'd ibn Abi Waqqas,سعد بن أبي وقاص,Abi Waqqas Malik | Hamimah bint Sufyan,
9,Sa'id ibn Zayd,سعيد بن زيد,Zayd ibn Amr ibn Nufayl | Safiyyah bint Umayyah,
10,Abu Ubaydah ibn al-Jarrah,أبو عبيدة بن الجراح,Abdullah ibn al-Jarrah | Umayya bint Abdullah,
11,Khadija bint Khuwaylid,خديجة بنت خويلد,Khuwaylid ibn Asad | Fatima bint Za'idah,
12,Aisha bint Abi Bakr,عائشة بنت أبي بكر,Abu Bakr as-Siddiq | Umm Ruman bint Amir,Muhammad (PBUH)
13,Fatima bint Muhammad,فاطمة بنت محمد,Muhammad (PBUH),Ali ibn Abi Talib
14,Hasan ibn Ali,الحسن بن علي,Ali ibn Abi Talib | Fatima bint Muhammad,
15,Husayn ibn Ali,الحسين بن علي,Ali ibn Abi Talib | Fatima bint Muhammad,
16,Hamza ibn Abd al-Muttalib,حمزة بن عبد المطلب,Hala bint Whayb,
17,Abbas ibn Abd al-Muttalib,العباس بن عبد المطلب,Nuwaylah,
18,Bilal ibn Rabah,بلال بن رباح,Rabah | Hamamah,
19,Khalid ibn al-Walid,خالد بن الوليد,Al-Walid ibn al-Mughira | Lubabah bint al-Harith,
20,Zaynab bint Muhammad,زينب بنت محمد,Muhammad (PBUH),
21,Ruqayya bint Muhammad,رقية بنت محمد,Muhammad (PBUH),Uthman ibn Affan
22,Umm Kulthum bint Muhammad,أم كلثوم بنت محمد,Muhammad (PBUH),Uthman ibn Affan
23,Ja'far ibn Abi Talib,جعفر بن أبي طالب,Abu Talib ibn Abd al-Muttalib | Fatima bint Asad,
24,Zayd ibn Harithah,زيد بن حارثة,Harithah ibn Sharahil | Su'da,
25,Usama ibn Zayd,أسامة بن زيد,Zayd ibn Harithah | Umm Ayman,
26,Abdullah ibn Umar,عبد الله بن عمر,Umar ibn al-Khattab,
27,Abdullah ibn Abbas,عبد الله بن عباس,Abbas ibn Abd al-Muttalib | Umm al-Fadl,
28,Abdullah ibn Mas'ud,عبد الله بن مسعود,Mas'ud ibn Ghafil | Umm Abd,
29,Abu Hurairah,أبو هريرة,Umayma bint Safeeh,
